Entity,Code,Year,obs_value__indicator_under_five_mortality_rate__sex_total__wealth_quintile_total__unit_of_measure_deaths_per_100_live_births,sh_xpd_chex_pp_cd,population_historical,owid_region,time,time,time,time
Tuvalu,TUV,2019,2.2497168,1135.7441,10603,Oceania,2019,2023,2019,2019
Uganda,UGA,2019,4.5536504,94.350716,42999636,Africa,2019,2023,2019,2019
Ukraine,UKR,2019,0.85018456,900.02954,44957450,Europe,2019,2023,2019,2019
United Arab Emirates,ARE,2019,0.62931395,3244.3728,9377855,Asia,2019,2023,2019,2019
United Kingdom,GBR,2019,0.43198258,4856.4956,67110958,Europe,2019,2023,2019,2019
United States,USA,2019,0.64564383,10661.028,337790068,North America,2019,2023,2019,2019
Uruguay,URY,2019,0.7324694,2276.2139,3397205,South America,2019,2023,2019,2019
Uzbekistan,UZB,2019,1.5504764,423.5923,32964702,Asia,2019,2023,2019,2019
Vanuatu,VUT,2019,1.965908,107.00121,291994,Oceania,2019,2023,2019,2019
Venezuela,VEN,2019,2.4213321,469.13428,28938095,South America,2019,2023,2019,2019
Vietnam,VNM,2019,2.1110685,536.00665,97173778,Asia,2019,2023,2019,2019
Yemen,YEM,2019,4.9327617,102.29128,35111417,Asia,2019,2023,2015,2015
Zambia,ZMB,2019,6.227124,186.97934,18513841,Africa,2019,2023,2019,2019
Zimbabwe,ZWE,2019,5.2376547,132.0687,15271377,Africa,2019,2023,2019,2019
